Cell,RSNM (mV),WM (mV),Process Corner,Technology,Notes
6T,N/A (unstable),—,TT,45nm,Fails at VDD=0.35V
8T (RD),64.4,—,FS,65nm,Decoupled read port
FD-10T,65.6,75.5,FS/SF,90nm,Sub-threshold 90nm
DFL-10T,21.6,175.8,FS/SF,65nm,—
PCA-12T,92.9,126.4,FS/SF,40nm,Bit-interleaving
DWA-12T,72.2,216.0,FS/SF,40nm,Data-aware write assist
SR-Latch-12T,89.2,135.2,FS/SF,40nm,SNFP worst case
Proposed Unified 12T,96.1,175.1,FS/SF,40/45nm,DSPS write boost +30%
